,Country Name,Country Code,Indicator Name,Indicator Code,Time Period,Value,Status,Unnamed: 7
9761794,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1981M10,44.99238689,,
9761795,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1986M3,65.12203691,,
9761958,"China, P.R.: Hong Kong",532,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1990M1,91.62895928,,
9763291,Denmark,128,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1983M11,79.42656644,,
9765751,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1961M1,2.149701871,,
9765752,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1962M10,2.05198815,,
9766157,Canada,156,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1958M4,13.7885541,,
9767901,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1979M9,80.15994584,,
9767902,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1993M10,88.83666275,,
9768491,Germany,134,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2010M6,101.2362178,,
9768591,Greece,174,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1988M9,65.11110872,,
9769796,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2008M4,95.4548247,,
9769827,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2004M2,85.45663489,,
9773444,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1975M10,99.61105358,,
9773472,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985M12,102.1321739,,
9773527,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1979M9,36.60124422,,
9774919,Ireland,178,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1962M11,12.41060147,,
9776987,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1973M7,73.66187115,,
9777926,Denmark,128,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1998M12,83.1211499,,
9779370,Netherlands,138,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2009M1,97.20329025,,
9780140,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1981M11,59.85455116,,
9781315,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1972M6,4.039303919,,
9783638,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1965M10,4.964078359,,
9783639,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1967M11,4.88093616,,
9784867,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1973M4,18.14947514,,
9785401,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1985M8,2.437140486,,
9788820,India,534,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2010M10,97.75784753,,
9790262,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1974M7,28.40806328,,
